"Table S1 Complete dataset used from train and validated machine learning methods, which are collected from literature data. ",,,,,,,,,,,,,,,,
Citation,Sample Name,Tectonic Setting,,Latitude ,Longitude ,Rock Name,Rock Type,P,Ti,Y,Nb,Dy,Yb,U,Hf,Th
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,619.274736,22.65863263,3500.650493,13.61158183,364.992683,961.6996774,259.0170399,8448.892262,220.0697297
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,1526.264424,12.07746242,6997.559833,34.36756348,701.9469422,2123.856575,2518.365005,8995.242022,2833.742725
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,798.8616968,13.7640386,4325.831991,14.05298181,469.6467891,1371.980576,621.4502686,7828.104818,590.4920585
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,473.2976042,13.19389707,2227.725003,21.69802013,231.1860294,672.547846,318.8076333,8751.371702,261.5542387
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,658.8882551,11.53498235,1665.103391,14.18021752,165.1099818,504.3426992,96.53276119,7964.921658,45.71169897
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,337.7692549,10.19317693,1521.034749,8.962387839,147.6149176,546.3842094,266.4737588,8587.634032,197.1681044
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,336.7479116,15.19682484,1313.501314,10.06749898,107.7609847,464.3106437,149.2819476,7862.596455,66.79295827
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,548.810668,17.79573746,2508.831048,16.48056711,211.397172,872.2741384,289.9750584,7762.738188,159.2627133
[15798] STELTEN M. E. (2012),samp. DH-3 (08DH-19),Convergent Margin,Plate Tectonic,44.03602,-121.75233,Rhyolite,Felsic,295.0296341,21.18500818,1311.12031,9.66623614,134.367431,387.0706812,96.50676939,8529.288229,58.4562351
[17110] WANG QIANG (2012),samp. 2303,Intraplate Volcanics,Plate Tectonic,35.7533,90.6631,Rhyolite,Felsic,471,9.82,739,1.18,73.5,221,1460,10344,231
[17292] PAMUKCU A. S. (2013),samp. KPST01A,Rift Volcanics,Plate Tectonic,35.1887,-114.0368,Rhyolite,Felsic,357,14.3,1890,10.2,210,485,200,10000,368
[17292] PAMUKCU A. S. (2013),samp. KPST01A,Rift Volcanics,Plate Tectonic,35.1887,-114.0368,Rhyolite,Felsic,234,12,953,8.3,92.4,310,148,10300,182
[17292] PAMUKCU A. S. (2013),samp. KPST01A,Rift Volcanics,Plate Tectonic,35.1887,-114.0368,Rhyolite,Felsic,211,8.59,992,13.2,78.7,350,264,11300,365
[17292] PAMUKCU A. S. (2013),samp. WSW2A,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,355,12.7,1560,8.52,157,436,189,10400,297
[17292] PAMUKCU A. S. (2013),samp. WSW2A,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,271,8.97,985,14.1,75.8,361,255,11400,325
[17292] PAMUKCU A. S. (2013),samp. WSW2A,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,235,8.42,927,13.6,73.2,340,266,11700,347
[17292] PAMUKCU A. S. (2013),samp. WSW2B,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,552,19.1,3110,27,376,715,336,10000,748
[17292] PAMUKCU A. S. (2013),samp. WSW2B,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,234,17.4,827,7.82,86.4,252,127,10400,192
[17292] PAMUKCU A. S. (2013),samp. WSW2B,Rift Volcanics,Plate Tectonic,35,-114,Rhyolite,Felsic,300,24.8,838,5.56,97.8,222,64.8,95200,105
[17292] PAMUKCU A. S. (2013),samp. GJ1A,Rift Volcanics,Plate Tectonic,35.2,-114,Rhyolite,Felsic,391,16.6,1960,22.2,207,490,282,99500,548
[17292] PAMUKCU A. S. (2013),samp. GJ1A,Rift Volcanics,Plate Tectonic,35.2,-114,Rhyolite,Felsic,429,14.5,1620,17.1,186,341,135,95800,219
[17292] PAMUKCU A. S. (2013),samp. PSTG01C,Rift Volcanics,Plate Tectonic,35.03,-114.47,Trachyte,Intermediate,435,19.1,2630,12.4,336,553,180,9230,467
